province_code,district_code,subdistrict_code,location_code,province,district,subdistrict,v_province,v_subdistrict
10,0,0,100000,กรุงเทพมหานคร,,,1,0
10,1,0,100100,กรุงเทพมหานคร,พระนคร,,0,1
10,1,1,100101,กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,0,0
10,1,2,100102,กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,0,0
10,1,3,100103,กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,0,0
10,1,4,100104,กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,0,0
10,1,5,100105,กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,0,0
10,1,6,100106,กรุงเทพมหานคร,พระนคร,เสาชิงช้า,0,0
10,1,7,100107,กรุงเทพมหานคร,พระนคร,บวรนิเวศ,0,0
10,1,8,100108,กรุงเทพมหานคร,พระนคร,ตลาดยอด,0,0
10,1,9,100109,กรุงเทพมหานคร,พระนคร,ชนะสงคราม,0,0
10,1,10,100110,กรุงเทพมหานคร,พระนคร,บ้านพานถม,0,0
10,1,11,100111,กรุงเทพมหานคร,พระนคร,บางขุนพรหม,0,0
10,1,12,100112,กรุงเทพมหานคร,พระนคร,วัดสามพระยา,0,0
10,2,0,100200,กรุงเทพมหานคร,ดุสิต,,0,1
10,2,1,100201,กรุงเทพมหานคร,ดุสิต,ดุสิต,0,0
10,2,2,100202,กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,0,0
10,2,3,100203,กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,0,0
10,2,4,100204,กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,0,0
10,2,6,100206,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,0,0
10,3,0,100300,กรุงเทพมหานคร,หนองจอก,,0,1
10,3,1,100301,กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,0,0
10,3,2,100302,กรุงเทพมหานคร,หนองจอก,หนองจอก,0,0
10,3,3,100303,กรุงเทพมหานคร,หนองจอก,คลองสิบ,0,0
10,3,4,100304,กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,0,0
10,3,5,100305,กรุงเทพมหานคร,หนองจอก,โคกแฝด,0,0
10,3,6,100306,กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,0,0
10,3,7,100307,กรุงเทพมหานคร,หนองจอก,ลำผักชี,0,0
10,3,8,100308,กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,0,0
10,4,0,100400,กรุงเทพมหานคร,บางรัก,,0,1
10,4,1,100401,กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,0,0
10,4,2,100402,กรุงเทพมหานคร,บางรัก,สีลม,0,0
10,4,3,100403,กรุงเทพมหานคร,บางรัก,สุริยวงศ์,0,0
10,4,4,100404,กรุงเทพมหานคร,บางรัก,บางรัก,0,0
10,4,5,100405,กรุงเทพมหานคร,บางรัก,สี่พระยา,0,0
10,5,0,100500,กรุงเทพมหานคร,บางเขน,,0,1
10,5,2,100502,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,0,0
10,5,8,100508,กรุงเทพมหานคร,บางเขน,ท่าแร้ง,0,0
10,6,0,100600,กรุงเทพมหานคร,บางกะปิ,,0,1
10,6,1,100601,กรุงเทพมหานคร,บางกะปิ,คลองจั่น,0,0
10,6,8,100608,กรุงเทพมหานคร,บางกะปิ,หัวหมาก,0,0
10,7,0,100700,กรุงเทพมหานคร,ปทุมวัน,,0,1
10,7,1,100701,กรุงเทพมหานคร,ปทุมวัน,รองเมือง,0,0
10,7,2,100702,กรุงเทพมหานคร,ปทุมวัน,วังใหม่,0,0
10,7,3,100703,กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,0,0
10,7,4,100704,กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,0,0
10,8,0,100800,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,,0,1
10,8,1,100801,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,0,0
10,8,2,100802,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,0,0
10,8,3,100803,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,0,0
10,8,4,100804,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,0,0
10,8,5,100805,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,0,0
10,9,0,100900,กรุงเทพมหานคร,พระโขนง,,0,1
10,9,5,100905,กรุงเทพมหานคร,พระโขนง,บางจาก,0,0
10,9,10,100910,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,0,0
10,10,0,101000,กรุงเทพมหานคร,มีนบุรี,,0,1
10,10,1,101001,กรุงเทพมหานคร,มีนบุรี,มีนบุรี,0,0
10,10,2,101002,กรุงเทพมหานคร,มีนบุรี,แสนแสบ,0,0
10,11,0,101100,กรุงเทพมหานคร,ลาดกระบัง,,0,1
10,11,1,101101,กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,0,0
10,11,2,101102,กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,0,0
10,11,3,101103,กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,0,0
10,11,4,101104,กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,0,0
10,11,5,101105,กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,0,0
10,11,6,101106,กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,0,0
10,12,0,101200,กรุงเทพมหานคร,ยานนาวา,,0,1
10,12,3,101203,กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,0,0
10,12,4,101204,กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,0,0
10,13,0,101300,กรุงเทพมหานคร,สัมพันธวงศ์,,0,1
10,13,1,101301,กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,0,0
10,13,2,101302,กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,0,0
10,13,3,101303,กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,0,0
10,14,0,101400,กรุงเทพมหานคร,พญาไท,,0,1
10,14,1,101401,กรุงเทพมหานคร,พญาไท,สามเสนใน,0,0
10,14,6,101406,กรุงเทพมหานคร,พญาไท,พญาไท,0,0
10,15,0,101500,กรุงเทพมหานคร,ธนบุรี,,0,1
10,15,1,101501,กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,0,0
10,15,2,101502,กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,0,0
10,15,3,101503,กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,0,0
10,15,4,101504,กรุงเทพมหานคร,ธนบุรี,บุคคโล,0,0
10,15,5,101505,กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,0,0
10,15,6,101506,กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,0,0
10,15,7,101507,กรุงเทพมหานคร,ธนบุรี,สำเหร่,0,0
10,16,0,101600,กรุงเทพมหานคร,บางกอกใหญ่,,0,1
10,16,1,101601,กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,0,0
10,16,2,101602,กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,0,0
10,17,0,101700,กรุงเทพมหานคร,ห้วยขวาง,,0,1
10,17,1,101701,กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,0,0
10,17,2,101702,กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,0,0
10,17,4,101704,กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,0,0
10,18,0,101800,กรุงเทพมหานคร,คลองสาน,,0,1
10,18,1,101801,กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,0,0
10,18,2,101802,กรุงเทพมหานคร,คลองสาน,คลองสาน,0,0
10,18,3,101803,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,0,0
10,18,4,101804,กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,0,0
10,19,0,101900,กรุงเทพมหานคร,ตลิ่งชัน,,0,1
10,19,1,101901,กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,0,0
10,19,2,101902,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,0,0
10,19,3,101903,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,0,0
10,19,4,101904,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,0,0
10,19,5,101905,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,0,0
10,19,7,101907,กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,0,0
10,20,0,102000,กรุงเทพมหานคร,บางกอกน้อย,,0,1
10,20,4,102004,กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,0,0
10,20,5,102005,กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,0,0
10,20,6,102006,กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,0,0
10,20,7,102007,กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,0,0
10,20,9,102009,กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,0,0
10,21,0,102100,กรุงเทพมหานคร,บางขุนเทียน,,0,1
10,21,5,102105,กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,0,0
10,21,7,102107,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,0,0
10,22,0,102200,กรุงเทพมหานคร,ภาษีเจริญ,,0,1
10,22,1,102201,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,0,0
10,22,2,102202,กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,0,0
10,22,6,102206,กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,0,0
10,22,7,102207,กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,0,0
10,22,8,102208,กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,0,0
10,22,9,102209,กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,0,0
10,22,10,102210,กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,0,0
10,23,0,102300,กรุงเทพมหานคร,หนองแขม,,0,1
10,23,2,102302,กรุงเทพมหานคร,หนองแขม,หนองแขม,0,0
10,23,3,102303,กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,0,0
10,24,0,102400,กรุงเทพมหานคร,ราษฎร์บูรณะ,,0,1
10,24,1,102401,กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,0,0
10,24,2,102402,กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,0,0
10,25,0,102500,กรุงเทพมหานคร,บางพลัด,,0,1
10,25,1,102501,กรุงเทพมหานคร,บางพลัด,บางพลัด,0,0
10,25,2,102502,กรุงเทพมหานคร,บางพลัด,บางอ้อ,0,0
10,25,3,102503,กรุงเทพมหานคร,บางพลัด,บางบำหรุ,0,0
10,25,4,102504,กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,0,0
10,26,0,102600,กรุงเทพมหานคร,ดินแดง,,0,1
10,26,1,102601,กรุงเทพมหานคร,ดินแดง,ดินแดง,0,0
10,26,2,102602,กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,0,0
10,27,0,102700,กรุงเทพมหานคร,บึงกุ่ม,,0,1
10,27,1,102701,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,0,0
10,27,4,102704,กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,0,0
10,27,5,102705,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,0,0
10,28,0,102800,กรุงเทพมหานคร,สาทร,,0,1
10,28,1,102801,กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,0,0
10,28,2,102802,กรุงเทพมหานคร,สาทร,ยานนาวา,0,0
10,28,3,102803,กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,0,0
10,29,0,102900,กรุงเทพมหานคร,บางซื่อ,,0,1
10,29,1,102901,กรุงเทพมหานคร,บางซื่อ,บางซื่อ,0,0
10,29,2,102902,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,0,0
10,30,0,103000,กรุงเทพมหานคร,จตุจักร,,0,1
10,30,1,103001,กรุงเทพมหานคร,จตุจักร,ลาดยาว,0,0
10,30,2,103002,กรุงเทพมหานคร,จตุจักร,เสนานิคม,0,0
10,30,3,103003,กรุงเทพมหานคร,จตุจักร,จันทรเกษม,0,0
10,30,4,103004,กรุงเทพมหานคร,จตุจักร,จอมพล,0,0
10,30,5,103005,กรุงเทพมหานคร,จตุจักร,จตุจักร,0,0
10,31,0,103100,กรุงเทพมหานคร,บางคอแหลม,,0,1
10,31,1,103101,กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,0,0
10,31,2,103102,กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,0,0
10,31,3,103103,กรุงเทพมหานคร,บางคอแหลม,บางโคล่,0,0
10,32,0,103200,กรุงเทพมหานคร,ประเวศ,,0,1
10,32,1,103201,กรุงเทพมหานคร,ประเวศ,ประเวศ,0,0
10,32,2,103202,กรุงเทพมหานคร,ประเวศ,หนองบอน,0,0
10,32,3,103203,กรุงเทพมหานคร,ประเวศ,ดอกไม้,0,0
10,33,0,103300,กรุงเทพมหานคร,คลองเตย,,0,1
10,33,1,103301,กรุงเทพมหานคร,คลองเตย,คลองเตย,0,0
10,33,2,103302,กรุงเทพมหานคร,คลองเตย,คลองตัน,0,0
10,33,3,103303,กรุงเทพมหานคร,คลองเตย,พระโขนง,0,0
10,34,0,103400,กรุงเทพมหานคร,สวนหลวง,,0,1
10,34,1,103401,กรุงเทพมหานคร,สวนหลวง,สวนหลวง,0,0
10,34,2,103402,กรุงเทพมหานคร,สวนหลวง,อ่อนนุช,0,0
10,34,3,103403,กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,0,0
10,35,0,103500,กรุงเทพมหานคร,จอมทอง,,0,1
10,35,1,103501,กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,0,0
10,35,2,103502,กรุงเทพมหานคร,จอมทอง,บางค้อ,0,0
10,35,3,103503,กรุงเทพมหานคร,จอมทอง,บางมด,0,0
10,35,4,103504,กรุงเทพมหานคร,จอมทอง,จอมทอง,0,0
10,36,0,103600,กรุงเทพมหานคร,ดอนเมือง,,0,1
10,36,2,103602,กรุงเทพมหานคร,ดอนเมือง,สีกัน,0,0
10,36,4,103604,กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,0,0
10,36,5,103605,กรุงเทพมหานคร,ดอนเมือง,สนามบิน,0,0
10,37,0,103700,กรุงเทพมหานคร,ราชเทวี,,0,1
10,37,1,103701,กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,0,0
10,37,2,103702,กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,0,0
10,37,3,103703,กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,0,0
10,37,4,103704,กรุงเทพมหานคร,ราชเทวี,มักกะสัน,0,0
10,38,0,103800,กรุงเทพมหานคร,ลาดพร้าว,,0,1
10,38,1,103801,กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,0,0
10,38,2,103802,กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,0,0
10,39,0,103900,กรุงเทพมหานคร,วัฒนา,,0,1
10,39,1,103901,กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,0,0
10,39,2,103902,กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,0,0
10,39,3,103903,กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,0,0
10,40,0,104000,กรุงเทพมหานคร,บางแค,,0,1
10,40,1,104001,กรุงเทพมหานคร,บางแค,บางแค,0,0
10,40,2,104002,กรุงเทพมหานคร,บางแค,บางแคเหนือ,0,0
10,40,3,104003,กรุงเทพมหานคร,บางแค,บางไผ่,0,0
10,40,4,104004,กรุงเทพมหานคร,บางแค,หลักสอง,0,0
10,41,0,104100,กรุงเทพมหานคร,หลักสี่,,0,1
10,41,1,104101,กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,0,0
10,41,2,104102,กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,0,0
10,42,0,104200,กรุงเทพมหานคร,สายไหม,,0,1
10,42,1,104201,กรุงเทพมหานคร,สายไหม,สายไหม,0,0
10,42,2,104202,กรุงเทพมหานคร,สายไหม,ออเงิน,0,0
10,42,3,104203,กรุงเทพมหานคร,สายไหม,คลองถนน,0,0
10,43,0,104300,กรุงเทพมหานคร,คันนายาว,,0,1
10,43,1,104301,กรุงเทพมหานคร,คันนายาว,คันนายาว,0,0
10,43,2,104302,กรุงเทพมหานคร,คันนายาว,รามอินทรา,0,0
10,44,0,104400,กรุงเทพมหานคร,สะพานสูง,,0,1
10,44,1,104401,กรุงเทพมหานคร,สะพานสูง,สะพานสูง,0,0
10,44,2,104402,กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา,0,0
10,44,3,104403,กรุงเทพมหานคร,สะพานสูง,ทับช้าง,0,0
10,45,0,104500,กรุงเทพมหานคร,วังทองหลาง,,0,1
10,45,1,104501,กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,0,0
10,45,2,104502,กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,0,0
10,45,3,104503,กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,0,0
10,45,4,104504,กรุงเทพมหานคร,วังทองหลาง,พลับพลา,0,0
10,46,0,104600,กรุงเทพมหานคร,คลองสามวา,,0,1
10,46,1,104601,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,0,0
10,46,2,104602,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก,0,0
10,46,3,104603,กรุงเทพมหานคร,คลองสามวา,บางชัน,0,0
10,46,4,104604,กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน,0,0
10,46,5,104605,กรุงเทพมหานคร,คลองสามวา,ทรายกองดินใต้,0,0
10,47,0,104700,กรุงเทพมหานคร,บางนา,,0,1
10,47,2,104702,กรุงเทพมหานคร,บางนา,บางนาเหนือ,0,0
10,47,3,104703,กรุงเทพมหานคร,บางนา,บางนาใต้,0,0
10,48,0,104800,กรุงเทพมหานคร,ทวีวัฒนา,,0,1
10,48,1,104801,กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา,0,0
10,48,2,104802,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์,0,0
10,49,0,104900,กรุงเทพมหานคร,ทุ่งครุ,,0,1
10,49,1,104901,กรุงเทพมหานคร,ทุ่งครุ,บางมด,0,0
10,49,2,104902,กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,0,0
10,50,0,105000,กรุงเทพมหานคร,บางบอน,,0,1
10,50,2,105002,กรุงเทพมหานคร,บางบอน,บางบอนเหนือ,0,0
10,50,3,105003,กรุงเทพมหานคร,บางบอน,บางบอนใต้,0,0
10,50,4,105004,กรุงเทพมหานคร,บางบอน,คลองบางพราน,0,0
10,50,5,105005,กรุงเทพมหานคร,บางบอน,คลองบางบอน,0,0
11,0,0,110000,สมุทรปราการ,,,1,0
11,1,0,110100,สมุทรปราการ,เมืองสมุทรปราการ,,0,1
11,1,1,110101,สมุทรปราการ,เมืองสมุทรปราการ,ปากน้ำ,0,0
11,1,2,110102,สมุทรปราการ,เมืองสมุทรปราการ,สำโรงเหนือ,0,0
11,1,3,110103,สมุทรปราการ,เมืองสมุทรปราการ,บางเมือง,0,0
11,1,4,110104,สมุทรปราการ,เมืองสมุทรปราการ,ท้ายบ้าน,0,0
11,1,8,110108,สมุทรปราการ,เมืองสมุทรปราการ,บางปูใหม่,0,0
11,1,10,110110,สมุทรปราการ,เมืองสมุทรปราการ,แพรกษา,0,0
11,1,11,110111,สมุทรปราการ,เมืองสมุทรปราการ,บางโปรง,0,0
11,1,12,110112,สมุทรปราการ,เมืองสมุทรปราการ,บางปู,0,0
11,1,13,110113,สมุทรปราการ,เมืองสมุทรปราการ,บางด้วน,0,0
11,1,14,110114,สมุทรปราการ,เมืองสมุทรปราการ,บางเมืองใหม่,0,0
11,1,15,110115,สมุทรปราการ,เมืองสมุทรปราการ,เทพารักษ์,0,0
